Year,July,August
1900,73.11,72.84
1901,76.23,73.17
1902,72.01,71.33
1903,71.91,70.93
1904,71.33,70.7
1905,71.96,72.36
1906,72.34,71.82
1907,72.48,70.75
1908,73.17,70.66
1909,72.61,72.9
1910,74.1,71.08
1911,72.64,70.88
1912,72.23,70.11
1913,72.99,73.35
1914,74.07,71.67
1915,70.99,70.14
1916,74.26,71.78
1917,74.59,71.01
1918,72.41,72.48
1919,74.34,72.25
1920,72.68,70.61
1921,74.64,72
1922,72.99,72.79
1923,73.74,71.08
1924,71.85,72.03
1925,74.12,71.38
1926,73.33,72.3
1927,72.66,69.33
1928,73.36,71.8
1929,73.58,72.59
1930,75,72.88
1931,75.78,71.94
1932,74.07,72.54
1933,75.11,71.89
1934,76.35,73.51
1935,75.11,72.95
1936,76.77,74.57
1937,74.57,74.62
1938,73.74,73.71
1939,74.84,72.63
1940,74.12,72.12
1941,73.96,72.03
1942,73.94,71.76
1943,74.25,73.44
1944,72.77,72.09
1945,72.91,72.14
1946,73.83,71.15
1947,72.77,74.07
1948,73.22,72.03
1949,74.19,72.07
1950,71.2,70
1951,73.67,71.87
1952,74.07,72.81
1953,74.14,72.09
1954,75.45,72.16
1955,74.43,73.85
1956,73.04,71.67
1957,74.25,71.64
1958,72.59,73.27
1959,73.56,73.15
1960,73.87,72.19
1961,73.22,72.68
1962,72.05,72.1
1963,73.58,71.96
1964,74.64,70.7
1965,72.57,71.04
1966,75.04,70.83
1967,72.5,71.19
1968,72.84,70.57
1969,74.07,73.2
1970,73.94,73.36
1971,72.34,72
1972,72.16,71.65
1973,73.24,72.57
1974,74.07,70.29
1975,73.53,71.51
1976,72.88,70.63
1977,74.41,71.76
1978,73.78,71.78
1979,73.11,70.95
1980,75.72,72.77
1981,73.92,72.09
1982,73.18,72.05
1983,73.96,75.04
1984,73.15,73.11
1985,74.03,71.01
1986,73.49,71.69
1987,73.24,71.85
1988,74.77,73.65
1989,74.19,71.29
1990,73.24,72.25
1991,73.87,72.97
1992,71.2,69.82
1993,72.12,71.87
1994,73.6,72.18
1995,73.53,74.3
1996,73.62,72.41
1997,73.17,71.73
1998,75.45,73.99
1999,74.28,72.88
2000,73.85,74.01
2001,74.44,74.28
2002,75.83,72.82
2003,75.43,74.62
2004,72.88,70.14
2005,75.29,73.18
2006,76.39,73.38
2007,74.68,74.62
2008,74.05,72.25
2009,72.61,71.87
2010,74.7,74.03
2011,76.12,74.98
2012,76.73,73.78
2013,74.19,72.97
2014,73.27,72.21
2015,73.89,72.91
2016,75.2,73.51
2017,75.69,72
2018,75.43,73.49
2019,74.59,73.72
2020,75.63,74.68
