Species,Status
Acanthocybium solandri,Game fish
Acipenser transmontanus,Game fish
Aetomylaeus bovinus,Game fish
Albula argentea,Game fish
Albula glossodonta,Game fish
Albula nemoptera,Game fish
Albula vulpes,Game fish
Alectis ciliaris,Game fish
Alopias pelagicus,Game fish
Alopias superciliosus,Game fish
Alopias vulpinus,Game fish
Alosa sapidissima,Game fish
Ambassis ambassis,Game fish
Ambloplites rupestris,Game fish
Ameiurus catus,Game fish
Ameiurus melas,Game fish
Ameiurus natalis,Game fish
Ameiurus nebulosus,Game fish
Amia calva,Game fish
Anguilla anguilla,Game fish
Aplodinotus grunniens,Game fish
Apogon imberbis,Game fish
Argyrosomus regius,Game fish
Arripis trutta,Game fish
Astronotus ocellatus,Game fish
Atractoscion nobilis,Game fish
Atractosteus spatula,Game fish
Caranx caninus,Game fish
Caranx hippos,Game fish
Caranx ignobilis,Game fish
Caranx latus,Game fish
Caranx melampygus,Game fish
Caranx sexfasciatus,Game fish
Carcharhinus acronotus,Game fish
Carcharhinus albimarginatus,Game fish
Carcharhinus altimus,Game fish
Carcharhinus amblyrhynchoides,Game fish
Carcharhinus amblyrhynchos,Game fish
Carcharhinus amboinensis,Game fish
Carcharhinus borneensis,Game fish
Carcharhinus brachyurus,Game fish
Carcharhinus brevipinna,Game fish
Carcharhinus cautus,Game fish
Carcharhinus dussumieri,Game fish
Carcharhinus falciformis,Game fish
Carcharhinus fitzroyensis,Game fish
Carcharhinus galapagensis,Game fish
Carcharhinus hemiodon,Game fish
Carcharhinus isodon,Game fish
Carcharhinus leiodon,Game fish
Carcharhinus leucas,Game fish
Carcharhinus limbatus,Game fish
Carcharhinus longimanus,Game fish
Carcharhinus macloti,Game fish
Carcharhinus melanopterus,Game fish
Carcharhinus obscurus,Game fish
Carcharhinus perezii,Game fish
Carcharhinus plumbeus,Game fish
Carcharhinus porosus,Game fish
Carcharhinus sealei,Game fish
Carcharhinus signatus,Game fish
Carcharhinus sorrah,Game fish
Carcharhinus tilstoni,Game fish
Carcharias taurus,Game fish
Carcharodon carcharias,Game fish
Centropomus armatus,Game fish
Centropomus ensiferus,Game fish
Centropomus medius,Game fish
Centropomus mexicanus,Game fish
Centropomus nigrescens,Game fish
Centropomus parallelus,Game fish
Centropomus pectinatus,Game fish
Centropomus poeyi,Game fish
Centropomus robalito,Game fish
Centropomus undecimalis,Game fish
Centropomus unionensis,Game fish
Centropomus viridis,Game fish
Centropristis striata,Game fish
Chaetodipterus faber,Game fish
Channa amphibeus,Game fish
Channa argus,Game fish
Channa asiatica,Game fish
Channa aurantimaculata,Game fish
Channa bankanensis,Game fish
Channa baramensis,Game fish
Channa barca,Game fish
Channa bleheri,Game fish
Channa burmanica,Game fish
Channa cyanospilos,Game fish
Channa diplogramma,Game fish
Channa gachua,Game fish
Channa harcourtbutleri,Game fish
Channa lucius,Game fish
Channa maculata,Game fish
Channa marulioides,Game fish
Channa marulius,Game fish
Channa melanoptera,Game fish
Channa melasoma,Game fish
Channa micropeltes,Game fish
Channa nox,Game fish
Channa orientalis,Game fish
Channa panaw,Game fish
Channa pleurophthalma,Game fish
Channa punctata,Game fish
Channa stewartii,Game fish
Channa striata,Game fish
Cheilodipterus arabicus,Game fish
Cheilodipterus macrodon,Game fish
Chrysoblephus cristiceps,Game fish
Cichla intermedia,Game fish
Cichla ocellaris,Game fish
Cichla temensis,Game fish
Clarias gariepinus,Game fish
Colossoma macropomum,Game fish
Conger conger,Game fish
Coregonus clupeaformis,Game fish
Coryphaena hippurus,Game fish
Ctenopharyngodon idella,Game fish
Cynoscion nebulosus,Game fish
Cynoscion regalis,Game fish
