COMID,REGIONID,WETTED_WIDTH_M
724198,Region01,11.95
724264,Region01,9.3
724262,Region01,8.82
724566,Region01,9.99
724252,Region01,10.49
1712392,Region01,0
1712382,Region01,0
1713192,Region01,2.64
1713190,Region01,2.47
3961,Region01,7.19
1713370,Region01,0
725318,Region01,21.57
725294,Region01,22.27
725280,Region01,22.29
725274,Region01,22.29
1711602,Region01,0
1711580,Region01,0
724726,Region01,61.44
1712390,Region01,0
724230,Region01,10.53
724212,Region01,10.72
724544,Region01,4.52
724546,Region01,5.43
1712334,Region01,0
1712368,Region01,0
1713452,Region01,3.29
1713450,Region01,3.29
725278,Region01,22.27
724346,Region01,4.77
724622,Region01,5.07
24895151,Region01,0
1711694,Region01,0
719376,Region01,0
724942,Region01,5.35
1712340,Region01,0
720090,Region01,0
724554,Region01,5.16
724330,Region01,4.88
6043,Region01,10.88
1711550,Region01,0
1033,Region01,3.76
1937,Region01,46.91
1933,Region01,47.51
1945,Region01,48.54
1999,Region01,27.13
1705,Region01,26.92
1703,Region01,27.81
1693,Region01,32.63
1839,Region01,8.6
1821,Region01,4.39
3589,Region01,38.48
3561,Region01,10.61
2757,Region01,12.28
1711554,Region01,0
5601,Region01,13.69
3375,Region01,5.31
3431,Region01,7.2
1711574,Region01,0
3545,Region01,36.24
3569,Region01,36.09
3901,Region01,71.4
5525,Region01,0
6135,Region01,3.76
4577,Region01,4.73
6137,Region01,4.98
5529,Region01,4.14
1865,Region01,36.59
1687,Region01,37.03
1691,Region01,34.03
1907,Region01,6.84
1881,Region01,8.5
1695,Region01,9.92
1005,Region01,7.95
2915,Region01,38.7
3341,Region01,3.88
2817,Region01,9.36
5637,Region01,6.2
2719,Region01,22.39
969,Region01,14.16
5575,Region01,14.52
3559,Region01,37.02
1075,Region01,21.9
7647,Region01,8.45
185,Region01,0
3201,Region01,71.09
1711698,Region01,0
2991,Region01,11.78
907,Region01,8.97
5539,Region01,4.57
3213,Region01,3.24
5547,Region01,5.12
1947,Region01,36.69
1855,Region01,34.85
1951,Region01,52.13
859,Region01,4.44
7635,Region01,48.9
3549,Region01,37.02
1301,Region01,8.84
2765,Region01,8.45
5543,Region01,20.39
1015,Region01,3.64
1029,Region01,18.4
3411,Region01,5.56
2867,Region01,38.48
873,Region01,7.11
1939,Region01,47.97
1711542,Region01,0
2821,Region01,38.34
3919,Region01,71.16
2773,Region01,20.46
949,Region01,11.43
6009,Region01,5.65
4927,Region01,7.15
2873,Region01,38.76
3609,Region01,5.36
2887,Region01,6.78
3383,Region01,6.65
1711716,Region01,0
1667,Region01,5.36
1925,Region01,47.34
3565,Region01,10.62
6069,Region01,11.35
903,Region01,9.18
3547,Region01,37.03
1087,Region01,4.22
1711540,Region01,0
849,Region01,6.14
1107,Region01,22.43
3507,Region01,7.69
3859,Region01,0
2791,Region01,3.47
999,Region01,7.35
3891,Region01,71.99
3867,Region01,55.65
5559,Region01,7.14
4601,Region01,7.54
4605,Region01,9.22
2967,Region01,5.27
1103,Region01,36.99
1291,Region01,5.28
877,Region01,7.7
3749,Region01,53.72
2871,Region01,3.97
1665,Region01,10.07
3517,Region01,9.58
1467,Region01,23.31
1085,Region01,23.07
166421033,Region01,0
5573,Region01,14.78
6037,Region01,13.29
3493,Region01,8.39
3849,Region01,53.08
1065,Region01,5.42
1711688,Region01,0
1711660,Region01,0
2781,Region01,35.08
927,Region01,7.46
1063,Region01,5.73
1277,Region01,5.89
885,Region01,7.29
1955,Region01,50.97
3737,Region01,52.02
3095,Region01,53.72
3079,Region01,51.18
3001,Region01,11.9
3677,Region01,0
1711718,Region01,0
2813,Region01,2.76
1021,Region01,5.73
3423,Region01,6.31
1003,Region01,17.82
2729,Region01,37.02
6033,Region01,4.67
5589,Region01,0
6005,Region01,5.51
5609,Region01,3.22
7645,Region01,8.47
6049,Region01,5.42
931020007,Region01,70.87
1111,Region01,21.15
2769,Region01,20.17
1269,Region01,5.66
1711564,Region01,0
3721,Region01,50.96
3063,Region01,50.97
3755,Region01,53.79
3775,Region01,51.26
1711638,Region01,0
1921,Region01,46.55
1915,Region01,5.36
3331,Region01,9.22
3321,Region01,7.62
1711546,Region01,0
5639,Region01,7.6
1281,Region01,9.58
875,Region01,11.28
911,Region01,13.16
6063,Region01,0
6047,Region01,6.4
5561,Region01,7.21
6001,Region01,10.58
1043,Region01,19.42
3613,Region01,37.57
3875,Region01,72.1
1711538,Region01,0
1711566,Region01,0
1711636,Region01,0
4923,Region01,0
3779,Region01,53.99
3777,Region01,53.8
3125,Region01,53.99
2803,Region01,38.49
1835,Region01,11.63
1669,Region01,5.34
3575,Region01,38.51
5607,Region01,13.91
3109,Region01,13.86
5581,Region01,14.2
1715112,Region01,0
1061,Region01,19.25
1047,Region01,18.57
1711690,Region01,0
1367,Region01,0
2885,Region01,38.81
3185,Region01,72.1
4609,Region01,11.65
3573,Region01,38.23
2899,Region01,10.05
3385,Region01,7.09
3539,Region01,35.55
3607,Region01,39.72
2889,Region01,37.93
2989,Region01,7.82
2839,Region01,38.37
1713374,Region01,0
1841,Region01,13.23
3013,Region01,7.1
3591,Region01,38.53
1113,Region01,21.56
3687,Region01,0
2951,Region01,5.42
955,Region01,17.19
5551,Region01,15.54
2847,Region01,36.32
2983,Region01,11.18
2723,Region01,11.59
1711630,Region01,0
1051,Region01,4.32
3917,Region01,71.95
3903,Region01,71.36
2739,Region01,37.03
1711662,Region01,0
1447,Region01,22.11
3599,Region01,38.76
1465,Region01,0
1349,Region01,11.15
1711556,Region01,0
1709,Region01,2.91
3151,Region01,5.03
1711568,Region01,0
3699,Region01,0
1817,Region01,5.66
1711728,Region01,0
3531,Region01,10.08
5635,Region01,8.46
1077,Region01,3.59
971,Region01,17.08
909,Region01,9.83
5537,Region01,11.11
3215,Region01,12.39
7649,Region01,12.45
1023,Region01,10.12
6051,Region01,8.4
1711544,Region01,0
1713344,Region01,0
4607,Region01,10.81
4921,Region01,0
4893,Region01,11.91
3815,Region01,0
3145,Region01,6.96
3781,Region01,8.32
3463,Region01,7.72
1671,Region01,6.59
1663,Region01,0
3541,Region01,37.03
1803,Region01,8.71
3113,Region01,14.71
3605,Region01,5.72
6067,Region01,12.76
3553,Region01,37.03
901,Region01,9.64
5991,Region01,11.66
3855,Region01,15.64
1071,Region01,19.19
1273,Region01,5.79
2829,Region01,22.26
3889,Region01,72.1
4891,Region01,12.15
4889,Region01,12.64
4599,Region01,15.62
4569,Region01,0
1719,Region01,3.09
4579,Region01,0
3785,Region01,50.59
3791,Region01,53.65
3805,Region01,54.06
3807,Region01,54.06
3811,Region01,54.11
3009,Region01,6.92
1917,Region01,11.77
3141,Region01,14.74
2801,Region01,9.73
1711548,Region01,0
1045,Region01,9.31
6091,Region01,19.67
2721,Region01,36.99
3505,Region01,15
3851,Region01,55.04
3869,Region01,52.32
3863,Region01,52.24
7659,Region01,48.94
2753,Region01,5.86
1039,Region01,3.28
3907,Region01,71.12
917,Region01,7.38
1011,Region01,18.9
4583,Region01,5.55
4877,Region01,6.9
3799,Region01,53.98
3139,Region01,54.06
3825,Region01,54.28
1911,Region01,5.07
879,Region01,10.63
1931,Region01,48.81
987,Region01,18.22
1501,Region01,0
2749,Region01,11.75
929,Region01,13.56
3543,Region01,37.03
6089,Region01,73.24
3813,Region01,15.61
3871,Region01,55.65
3169,Region01,52.25
3175,Region01,55.65
5597,Region01,8.61
3923,Region01,71.19
1713530,Region01,0
2735,Region01,37.02
1717,Region01,5.46
1905,Region01,5.66
3499,Region01,5.96
3159,Region01,6.86
3485,Region01,7.91
3155,Region01,9.11
1711570,Region01,0
1823,Region01,6.25
2893,Region01,5.64
3347,Region01,9.29
3529,Region01,10.06
6111,Region01,0
1073,Region01,23.37
3327,Region01,9.34
3751,Region01,7.47
3171,Region01,55.65
3865,Region01,55.65
3879,Region01,53.53
3881,Region01,55.65
2741,Region01,21.53
1317,Region01,8.62
3895,Region01,71.13
2843,Region01,5.22
3555,Region01,37.02
3457,Region01,7.08
1363,Region01,0
2717,Region01,21.86
1825,Region01,39.51
3831,Region01,9.63
3157,Region01,9.02
3847,Region01,54.41
3841,Region01,51.46
1673,Region01,6.71
2805,Region01,10.64
1345,Region01,9.24
1311,Region01,9.1
3671,Region01,0
2725,Region01,37.03
1711552,Region01,0
3173,Region01,55.65
1017,Region01,5.47
983,Region01,4.59
2855,Region01,5.14
183,Region01,0
1297,Region01,6.12
2713,Region01,7.11
3191,Region01,72.06
989,Region01,5.29
1299,Region01,7.5
1713410,Region01,0
1713532,Region01,0
5531,Region01,0
3991,Region01,3.3
3211,Region01,5.66
3197,Region01,6.64
1941,Region01,46.51
2727,Region01,37.02
1351,Region01,7.21
3583,Region01,38.45
2827,Region01,5.2
5567,Region01,12.05
2733,Region01,36.98
3691,Region01,0
1679,Region01,7.3
3557,Region01,37.02
1067,Region01,21.08
1403,Region01,0
1089,Region01,5.37
6087,Region01,72.12
3199,Region01,70.99
2751,Region01,12.51
1267,Region01,3.33
1711642,Region01,0
1711652,Region01,0
1991,Region01,27.46
3415,Region01,6.39
3323,Region01,6.55
1123,Region01,5.2
1715118,Region01,0
867,Region01,5.04
3973,Region01,5.66
1711562,Region01,0
2771,Region01,10.06
1659,Region01,8.49
5629,Region01,9.22
1711676,Region01,0
1013,Region01,18.14
1713372,Region01,0
3633,Region01,0
3455,Region01,5.49
845,Region01,5.48
3585,Region01,38.45
3101,Region01,3.45
3439,Region01,4.17
3459,Region01,4.64
3461,Region01,3.54
3679,Region01,0
937,Region01,3.4
957,Region01,5.33
3365,Region01,3.69
3381,Region01,5.76
3349,Region01,4.68
3319,Region01,4.92
1683,Region01,5.67
2945,Region01,6.11
1347,Region01,4.16
3571,Region01,5.18
3127,Region01,12.74
1325,Region01,3.33
3725,Region01,0
3031,Region01,20.24
2959,Region01,3.42
2979,Region01,3.33
3935,Region01,0
3425,Region01,3.45
3981,Region01,4.79
2963,Region01,4.75
2931,Region01,6.48
3405,Region01,7.15
3181,Region01,5.29
3443,Region01,4.42
3451,Region01,5.23
2969,Region01,2.76
2909,Region01,3.51
3115,Region01,5.04
3925,Region01,0
2825,Region01,5.56
718276,Region01,0
718808,Region01,3.69
718792,Region01,4.24
718288,Region01,3.4
718882,Region01,2.87
718338,Region01,3.7
719118,Region01,4.49
718834,Region01,0
718062,Region01,5.37
718216,Region01,4.98
718234,Region01,4.83
718938,Region01,4.93
718452,Region01,0
717962,Region01,0
718186,Region01,3.18
718312,Region01,2.71
718086,Region01,0
719410,Region01,0
718984,Region01,5.02
718310,Region01,0
718958,Region01,3.89
718426,Region01,7.05
719128,Region01,3.08
718836,Region01,5.54
719212,Region01,0
717976,Region01,6.87
718424,Region01,0
718820,Region01,0
718292,Region01,4.52
718790,Region01,3.57
718300,Region01,3.03
718328,Region01,5.55
718488,Region01,5.54
718228,Region01,5.37
718020,Region01,0
718048,Region01,0
718248,Region01,0
718782,Region01,3.09
718524,Region01,3.72
718964,Region01,4.45
718780,Region01,4
719414,Region01,0
718398,Region01,3.82
718002,Region01,3.97
717392,Region01,5.32
718460,Region01,5.42
718262,Region01,0
717374,Region01,6.42
719434,Region01,0
719058,Region01,0
718136,Region01,3.27
718814,Region01,4.56
718620,Region01,5.74
718912,Region01,3.35
718196,Region01,5.7
718192,Region01,3.43
719012,Region01,8.19
718384,Region01,6.91
719458,Region01,0
718244,Region01,3.02
717352,Region01,2.53
719922,Region01,5.25
717432,Region01,3.06
718908,Region01,5.1
717974,Region01,3.31
718800,Region01,3.17
719200,Region01,7.12
719994,Region01,4.78
718842,Region01,3.48
718004,Region01,4.19
718430,Region01,0
718096,Region01,3.07
717384,Region01,4.98
718118,Region01,0
718812,Region01,0
718638,Region01,6.73
718646,Region01,4.13
718198,Region01,0
718324,Region01,10.45
718114,Region01,3.46
718016,Region01,5.33
717918,Region01,5.04
718210,Region01,0
717996,Region01,2.93
718176,Region01,0
719046,Region01,0
718852,Region01,3.18
717990,Region01,0
719428,Region01,0
718268,Region01,2.7
719092,Region01,2.89
718070,Region01,6.32
718352,Region01,3.07
717992,Region01,0
717934,Region01,0
718846,Region01,2.88
718414,Region01,0
718856,Region01,3.31
718346,Region01,6.46
718826,Region01,3.61
718194,Region01,0
718868,Region01,0
718802,Region01,3.64
718406,Region01,4.07
718354,Region01,4.15
719210,Region01,0
718816,Region01,3.52
717364,Region01,5.3
719054,Region01,3.74
717420,Region01,4.4
719424,Region01,0
717078,Region01,5.42
718454,Region01,0
717548,Region01,0
718270,Region01,0
717900,Region01,4.22
717376,Region01,7.95
719930,Region01,7.64
718776,Region01,3.36
717970,Region01,0
717410,Region01,5.37
718160,Region01,5.2
719084,Region01,5.88
718318,Region01,9.19
718794,Region01,3.39
718410,Region01,0
718948,Region01,5.31
718350,Region01,3.71
718806,Region01,12.07
717972,Region01,7.79
719072,Region01,4.3
719134,Region01,2.92
717998,Region01,5.35
718900,Region01,4.3
718526,Region01,0
719420,Region01,0
717362,Region01,0
721636,Region01,0
718330,Region01,0
717368,Region01,3.36
718374,Region01,0
718940,Region01,5.12
718156,Region01,0
719098,Region01,0
718418,Region01,5.56
718420,Region01,4.14
718298,Region01,5.08
719074,Region01,3.35
718174,Region01,0
718878,Region01,6.37
719946,Region01,5.44
718320,Region01,0
717954,Region01,8.01
718838,Region01,3.23
717932,Region01,0
718128,Region01,0
718822,Region01,0
719416,Region01,0
718306,Region01,0
718172,Region01,0
717370,Region01,2.83
719020,Region01,0
718968,Region01,3.06
718362,Region01,6.06
718356,Region01,5.71
718058,Region01,4.23
718440,Region01,3.01
718078,Region01,3.88
720200,Region01,0
718180,Region01,0
717924,Region01,0
718658,Region01,4.95
718516,Region01,3.99
717360,Region01,0
718936,Region01,2.55
718416,Region01,5.57
718832,Region01,3.17
718138,Region01,0
717394,Region01,4.48
718334,Region01,0
718482,Region01,3.6
718302,Region01,4.45
718266,Region01,0
718870,Region01,6.77
718246,Region01,0
718220,Region01,3.67
718538,Region01,2.49
718500,Region01,0
719422,Region01,0
719048,Region01,2.73
717064,Region01,5.42
717978,Region01,0
719040,Region01,0
718280,Region01,0
718778,Region01,5.9
719438,Region01,0
718602,Region01,2.7
721620,Region01,3.13
718402,Region01,4.14
717358,Region01,6.35
718104,Region01,0
718422,Region01,3.98
718256,Region01,0
718044,Region01,0
719022,Region01,5.04
718012,Region01,0
718214,Region01,2.96
718146,Region01,0
718240,Region01,0
718604,Region01,2.91
718796,Region01,2.84
718932,Region01,0
718534,Region01,0
717414,Region01,4.41
717428,Region01,2.66
718810,Region01,6.93
718514,Region01,0
719408,Region01,0
719418,Region01,0
718140,Region01,0
718360,Region01,5.57
718316,Region01,5.41
718512,Region01,2.52
718610,Region01,2.93
718386,Region01,4.93
718332,Region01,3.43
718206,Region01,0
718432,Region01,0
718252,Region01,0
718286,Region01,0
718434,Region01,6.56
718648,Region01,6.74
718232,Region01,6.7
718088,Region01,0
718222,Region01,0
718372,Region01,0
718184,Region01,0
718924,Region01,4.2
718468,Region01,0
718490,Region01,4.96
718296,Region01,0
719226,Region01,7.22
717888,Region01,3.07
717366,Region01,5.04
717426,Region01,2.75
717434,Region01,2.82
719174,Region01,0
718570,Region01,5.57
718496,Region01,0
718894,Region01,3.75
718054,Region01,4.22
717412,Region01,4.88
717906,Region01,4.41
718446,Region01,0
719078,Region01,4.11
718294,Region01,0
720130,Region01,0
718370,Region01,0
719426,Region01,0
718928,Region01,6.48
718032,Region01,0
718542,Region01,4.68
718204,Region01,5.32
718046,Region01,3.32
717356,Region01,4.01
718344,Region01,0
718190,Region01,0
718502,Region01,0
719206,Region01,4.97
718010,Region01,6.29
718236,Region01,5.04
718278,Region01,3.52
718378,Region01,4.67
719920,Region01,5.5
719096,Region01,3.32
718824,Region01,0
718478,Region01,5.28
718798,Region01,2.94
718858,Region01,0
718880,Region01,0
718110,Region01,0
720004,Region01,5.4
719196,Region01,4.46
718804,Region01,7.99
718412,Region01,4.78
717396,Region01,3.4
717546,Region01,0
719442,Region01,0
719432,Region01,0
718408,Region01,0
717388,Region01,2.97
717944,Region01,0
720056,Region01,9.41
1711772,Region01,0
166195819,Region01,6.28
166195818,Region01,0
1702406,Region01,0
1702380,Region01,0
1702378,Region01,0
1713146,Region01,7.47
1712960,Region01,28.89
719980,Region01,3.61
720010,Region01,3.5
718582,Region01,4.81
718536,Region01,5.06
1713356,Region01,31.58
719932,Region01,4.29
