"Species","Equilibrium","Periodic","Opportunist","GameFish","HUC01","HUC02","HUC03","HUC04","HUC05","HUC06","HUC07","HUC08","HUC09","HUC10","HUC11","HUC12","HUC13","HUC14","HUC15","HUC16","HUC17","HUC18"
"Acantharchus pomotis",0.158914506222873,0.452422026321507,0.387333049204955,"Non-game","","Native","Native","","","","","","","","","","","","","","",""
"Acrocheilus alutaceus",0.0309229918631931,0.474857706220964,0.492853285546494,"Non-game","","","","","","","","","","","","","","","","","Native",""
"Agosia chrysogaster",0.0672140430247691,0.431084788147651,0.500358140654556,"Non-game","","","","","","","","","","","","","","","Non-native","","",""
"Alosa chrysochloris",0,0.716193570402753,0.282384498083839,"Non-game","","","","","Non-native","","Native","Native","","","","","","","","","",""
"Alosa pseudoharengus",0,0.584227494100975,0.414415003636046,"Non-game","Non-native","","","","","","","","","","","","","","","","",""
"Alosa sapidissima",0,0.785851256293046,0.212684206738371,"Game",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambloplites ariommus",0.172046662216405,0.474238534537447,0.352380830289505,"Non-game","","","Native","","","","","Native","","Non-native","Non-native","","","","","","",""
"Ambloplites constellatus",0.143061622290284,0.472654830787582,0.382947307331919,"Non-game","","","","","","","","","","Non-native","Non-native","","","","","","",""
"Ambloplites rupestris",0.23086692690666,0.44265114133817,0.325162103130528,"Game","Non-native","Non-native","Non-native","Non-native","Non-native","Native","Native","Non-native","Native","Non-native","Non-native","","","","","","Non-native",""
"Ameiurus brunneus",0.51959179733999,0.207011733765179,0.27220009210554,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Ameiurus catus",0.402167075338198,0.350092545684905,0.246479655262586,"Game","","","Native","","","","","","","","","","","","","","","Non-native"
"Ameiurus melas",0.382795226346819,0.372764675491168,0.243167736480225,"Game","","Non-native","Non-native","Native","Native","Native","Native","Native","Native","Non-native","Non-native","Native","","Non-native","Non-native","Non-native","Non-native","Non-native"
"Ameiurus natalis",0.484459527686882,0.233216895614927,0.281113114463283,"Game","Non-native","Non-native","Non-native","Native","Non-native","Native","Native","Native","","Non-native","Native","Native","Non-native","Non-native","Non-native","","Non-native","Non-native"
"Ameiurus nebulosus",0.409381683641018,0.342257737172982,0.247102857338598,"Game","Non-native","Native","Native","Non-native","Non-native","Non-native","Native","Native","Native","Non-native","Non-native","","","","","","Non-native","Non-native"
"Ameiurus platycephalus",0.461415614357623,0.250012337905117,0.287353561483309,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Amia calva",0.526325110632657,0.37594632527173,0.0964722519350419,"Game","","","Native","Native","","Native","Native","Native","","","Native","Native","","","","","",""
"Ammocrypta pellucida",0.427642901150072,0.0963940793818476,0.474791689427757,"Non-game","","","","Non-native","Non-native","","","","","","","","","","","","",""
"Anguilla rostrata",0.574450616569944,0.424410127124359,0,"Non-game","Native","Native","Native","","","","","","","","","Native","","","","","",""
"Aphredoderus sayanus",0.351016942221585,0.105661480927135,0.542150451197446,"Non-game","","Native","Native","Native","Native","Native","Native","Native","","","Native","Native","","","","","",""
"Aplodinotus grunniens",0,0.737451077339989,0.261084018273034,"Game","","","Native","Non-native","Native","Native","Native","Native","Native","Non-native","Native","Native","","","","","",""
"Astyanax mexicanus",0,0.362338993588655,0.636380532326646,"Non-game","","","","","","","","","","","","Non-native","Native","","","","",""
"Campostoma anomalum",0,0.31706134497986,0.681634227787429,"Non-game","","Non-native","Non-native","Non-native","Non-native","Native","Non-native","Native","Non-native","Non-native","Native","Native","","","","","",""
"Campostoma oligolepis",0.0106756203104972,0.29117340976303,0.696847033385887,"Non-game","","","Non-native","Native","Non-native","Non-native","Non-native","","Non-native","Non-native","Non-native","","","","","","",""
"Campostoma pauciradii",0,0.360029806404721,0.638645576382392,"Non-game","","","Native","","","","","","","","","","","","","","",""
