"SampleID","Npass"
"BDB-000025003",1
"BDB-000025007",2
"BDB-000025011",2
"BDB-000025015",2
"BDB-000025021",2
"BDB-000025023",2
"BDB-000025030",2
"BDB-000025032",1
"BDB-000025034",2
"BDB-000025036",1
"BDB-000025038",1
"BDB-000025040",2
"BDB-000025251",2
"BDB-000025490",1
"BDB-000025491",2
"BDB-000025492",2
"BDB-000025493",2
"BDB-000025495",2
"BDB-000025496",1
"BDB-000025497",1
"BDB-000025499",1
"BDB-000025635",2
"BDB-000025638",1
"BDB-000025639",2
"BDB-000025640",2
"BDB-000025652",2
"BDB-000025655",1
"BDB-000025656",1
"BDB-000025657",1
"BDB-000025658",2
"BDB-000025711",1
"BDB-000025712",1
"BDB-000025713",1
"BDB-000025714",1
"BDB-000025715",1
"BDB-000025716",1
"BDB-000025717",1
"BDB-000025719",1
"BDB-000025720",2
"BDB-000025724",2
"BDB-000025727",2
"BDB-000025730",1
"BDB-000025731",2
"BDB-000025735",2
"BDB-000025737",1
"BDB-000025738",1
"BDB-000025739",1
"BDB-000025740",1
"BDB-000025742",1
"BDB-000025758",1
"BDB-000025764",2
"BDB-000025765",1
"BDB-000025767",1
"BDB-000025768",2
"BDB-000025769",3
"BDB-000025770",2
"BDB-000025774",2
"BDB-000025777",2
"BDB-000025779",2
"BDB-000025781",2
"BDB-000025782",2
"BDB-000025783",2
"BDB-000025784",2
"BDB-000025785",2
"BDB-000025786",2
"BDB-000025787",2
"BDB-000025788",2
"BDB-000025789",3
"BDB-000025790",2
"BDB-000025791",1
"BDB-000025792",2
"BDB-000025793",2
"BDB-000025801",1
"BDB-000025802",2
"BDB-000025803",1
"BDB-000025804",2
"BDB-000025806",2
"BDB-000025807",1
"BDB-000025808",1
"BDB-000025809",1
"BDB-000025810",1
"BDB-000025811",1
"BDB-000025816",2
"BDB-000025817",2
"BDB-000025818",2
"BDB-000025820",2
"BDB-000025823",2
"BDB-000025826",1
"BDB-000025834",2
"BDB-000025835",2
"BDB-000025836",2
"BDB-000025837",2
"BDB-000025838",1
"BDB-000025839",1
"BDB-000025841",1
"BDB-000025844",1
"BDB-000025845",1
"BDB-000025846",1
"BDB-000025847",1
"BDB-000025848",1
"BDB-000025849",2
"BDB-000025859",1
"BDB-000025862",2
"BDB-000025863",1
"BDB-000025867",1
"BDB-000025870",1
"BDB-000025871",2
"BDB-000025873",1
"BDB-000025875",1
"BDB-000025876",1
"BDB-000026514",2
"BDB-000026515",2
"BDB-000026516",2
"BDB-000026517",2
"BDB-000026660",2
"BDB-000027006",2
"BDB-000027008",2
"BDB-000027009",2
"BDB-000027012",1
"BDB-000027015",1
"BDB-000027016",2
"BDB-000027018",2
"BDB-000027019",3
"BDB-000027020",2
"BDB-000027021",1
"BDB-000027023",1
"BDB-000027060",1
"BDB-000027088",2
"BDB-000027437",1
"BDB-000027438",1
"BDB-000027441",1
"BDB-000028518",2
"BDB-000029232",2
"BDB-000029233",2
"BDB-000029455",2
"BDB-000029666",1
"BDB-000030489",2
