ID,SITECODE,SITENAME,GNIS_NAME,Mismatch,lat,lon,StationName,COMID,Comment,July.Q.mn,August.Q.mn,July.Q.md,August.Q.md
T01015800,USGS01015800,"Aroostook River near Masardis,",Aroostook River,NA,46.52305556,-68.37166667,"Aroostook River near Masardis, Maine",805443,PLD,720.1773458,548.6722428,582.2130128,441.7662635
T01017960,USGS01017960,Meduxnekeag R above S Br Medux,Meduxnekeag River,NA,46.105,-67.88138889,"Meduxnekeag R above S Br Medux. R nr Houlton, ME",817263,PLD,66.13687959,45.65232358,50.72744876,39.04517436
T01018000,USGS01018000,Meduxnekeag River near Houlton,Meduxnekeag River,NA,46.105,-67.86666667,"Meduxnekeag River near Houlton, Maine",817261,PLD,126.7598942,90.29531845,96.28736998,73.57415669
T01018035,USGS01018035,Meduxnekeag River at Lowery Rd,Meduxnekeag River,NA,46.18111111,-67.80388889,"Meduxnekeag River at Lowery Rd. nr Houlton, Maine",817165,upstrm suburban,NA,NA,NA,NA
T01021050,USGS01021050,"St. Croix River at Milltown, M",Saint Croix River,NA,45.17,-67.29666667,"St. Croix River at Milltown, Maine",5197168,impoundment,NA,NA,NA,NA
T01021200,USGS01021200,"Dennys River at Dennysville, M",Dennys River,NA,44.90138889,-67.2475,"Dennys River at Dennysville, Maine",2677548,PLD,83.08522403,59.21880657,56.45342324,43.00421269
T01022500,USGS01022500,Narraguagus River at Cherryfie,Narraguagus River,NA,44.60805556,-67.93527778,"Narraguagus River at Cherryfield, Maine",2677104,prox impoundment,301.7550647,227.4192036,227.1877186,199.1440344
T01031500,USGS01031500,Piscataquis River near Dover-F,Piscataquis River,NA,45.175,-69.31472222,"Piscataquis River near Dover-Foxcroft, Maine",1722317,PLD,287.4112537,199.3933458,183.9230225,155.5359144
T01036390,USGS01036390,"Penobscot River at Eddington,",Penobscot River,NA,44.82666667,-68.69666667,"Penobscot River at Eddington, Maine",1736862,"upstrm urban, impoundment",NA,NA,NA,NA
T01038000,USGS01038000,Sheepscot River at North White,Sheepscot River,NA,44.22277778,-69.59388889,"Sheepscot River at North Whitefield, Maine",5202858,PLD,103.5524518,69.93906929,67.41518234,55.06825229
