SITECODE,SITENAME,GNIS_NAME,lon,lat
USGS01015800,"Aroostook River near Masardis,",Aroostook River,-68.37166667,46.52305556
USGS01017960,Meduxnekeag R above S Br Medux,Meduxnekeag River,-67.88138889,46.105
USGS01018000,Meduxnekeag River near Houlton,Meduxnekeag River,-67.86666667,46.105
USGS01018035,Meduxnekeag River at Lowery Rd,Meduxnekeag River,-67.80388889,46.18111111
USGS01021050,"St. Croix River at Milltown, M",Saint Croix River,-67.29666667,45.17
USGS01021200,"Dennys River at Dennysville, M",Dennys River,-67.2475,44.90138889
USGS01022500,Narraguagus River at Cherryfie,Narraguagus River,-67.93527778,44.60805556
USGS01031500,Piscataquis River near Dover-F,Piscataquis River,-69.31472222,45.175
USGS01036390,"Penobscot River at Eddington,",Penobscot River,-68.69666667,44.82666667
USGS01038000,Sheepscot River at North White,Sheepscot River,-69.59388889,44.22277778
USGS01054200,"Wild River at Gilead, Maine","",-70.97972222,44.39055556
USGS01055100,"Androscoggin River at Jay, Mai",Androscoggin River,-70.22444444,44.5025
USGS01076000,"BAKER RIVER NEAR RUMNEY, NH",Baker River,-71.84535937,43.79562647
USGS01076500,PEMIGEWASSET RIVER AT PLYMOUTH,Pemigewasset River,-71.68563373,43.75923884
USGS01095220,STILLWATER RIVER NEAR STERLING,Stillwater River,-71.7911797190235,42.4108986798672
USGS01095375,QUINAPOXET RIVER AT CANADA MIL,"",-71.82812785,42.37286967
USGS01102345,SAUGUS RIVER AT SAUGUS IRONWOR,Saugus River,-71.00699537,42.46954044
USGS01102500,"ABERJONA RIVER AT WINCHESTER,","",-71.13894269,42.44731791
USGS01104415,"CAMBRIDGE RES., UNNAMED TRIB 2",Hobbs Brook,-71.2599482018474,42.4358024945057
USGS01104430,HOBBS BK BELOW CAMBRIDGE RES N,Hobbs Brook,-71.27339026,42.39815121
USGS01104433,"HOBBS BROOK, UNNAMED TRIBUTARY","",-71.27116794,42.39120689
USGS01104453,STONY BROOK UNNAMED TRIB 2 NR,Stony Brook,-71.27527778,42.37138889
USGS01104455,"STONY BROOK, UNNAMED TRIBUTARY",Stony Brook,-71.27033448,42.37259606
USGS01104460,STONY BROOK AT RT 20 AT WALTHA,Stony Brook,-71.27061225,42.368985
USGS01104475,"STONY BROOK RES., UNNAMED TRIB","",-71.2681121,42.3545408000001
USGS01104480,STONY BROOK RESERVOIR AT DAM N,Stony Brook,-71.26505646,42.35565192
USGS01110535,BLACKSTONE R E.HARTFORD RD NR,Blackstone River,-71.6232176614621,42.0973773271126
USGS01115098,PEEPTOAD BROOK AT ELMDALE RD N,Peeptoad Brook,-71.6061754,41.8525992
USGS01115110,HUNTINGHOUSE BK AT ELMDALE RD,Rush Brook,-71.61173114,41.84676589
USGS01115170,MOSWANSICUT STREAM NR NORTH SC,"",-71.58450796,41.84093269
USGS01115183,QUONAPAUG BK AT RT 116 NR NORT,Quonopaug Brook,-71.58478565,41.79759966
USGS01115187,PONAGANSET RIVER AT SOUTH FOST,Ponaganset River,-71.70506767,41.81871021
USGS01115190,DOLLY COLE BK AT OLD DANIELSON,Dolly Cole Brook,-71.70034528,41.82232131
USGS01115265,HEMLOCK BROOK AT KING ROAD NR,Hemlock Brook,-71.69867853,41.7906548400001
